Prefecture,Population
北海道,5320000
青森県,1278000
岩手県,1255000
宮城県,2323000
秋田県,996000
山形県,1102000
福島県,1882000
茨城県,2892000
栃木県,1957000
群馬県,1960000
埼玉県,7310000
千葉県,6246000
東京都,13724000
神奈川県,9159000
新潟県,2267000
富山県,1056000
石川県,1147000
福井県,779000
山梨県,823000
長野県,2076000
岐阜県,2008000
静岡県,3675000
愛知県,7525000
三重県,1800000
滋賀県,1413000
京都府,2599000
大阪府,8823000
兵庫県,5503000
奈良県,1348000
和歌山県,945000
鳥取県,565000
島根県,685000
岡山県,1907000
広島県,2829000
山口県,1383000
徳島県,743000
香川県,967000
愛媛県,1364000
高知県,714000
福岡県,5107000
佐賀県,824000
長崎県,1354000
熊本県,1765000
大分県,1152000
宮崎県,1089000
鹿児島県,1626000
沖縄県,1443000
